Tree,Level,Feature,Threshold,Value Distribution in Left Node,Value Distribution in Right Node,Gini Impurity in Left Node,Gini Impurity in Right Node,Current Impurity,Information Gain,Left Subtree,Right Subtree
1,6,Recency,18.5,"{'Class 0': 67, 'Class 1': 227}","{'Class 0': 104, 'Class 1': 112}",0.352,0.499,0.446,0.032,MntGoldProds,Income
1,6,Recency,0.5,"{'Class 0': 4, 'Class 1': 0}","{'Class 0': 23, 'Class 1': 196}",0.0,0.188,0.213,0.028,0,MntFruits
1,6,MntGoldProds,181.5,"{'Class 0': 31, 'Class 1': 0}","{'Class 0': 5, 'Class 1': 2}",0.0,0.408,0.1,0.025,0,Recency
1,6,Income,80137.5,"{'Class 0': 9, 'Class 1': 5}","{'Class 0': 7, 'Class 1': 78}",0.459,0.151,0.271,0.077,Recency,MntFruits
1,6,MntSweetProducts,180.0,"{'Class 0': 1, 'Class 1': 154}","{'Class 0': 2, 'Class 1': 10}",0.013,0.278,0.035,0.003,Recency,Income
1,6,NumCatalogPurchases,6.5,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 13}",0.0,0.0,0.305,0.305,0,1
1,6,Income,63689.5,"{'Class 0': 65, 'Class 1': 1}","{'Class 0': 99, 'Class 1': 42}",0.03,0.418,0.329,0.035,NumCatalogPurchases,NumStorePurchases
1,6,Income,60982.0,"{'Class 0': 1, 'Class 1': 19}","{'Class 0': 41, 'Class 1': 24}",0.095,0.466,0.5,0.121,NumCatalogPurchases,NumCatalogPurchases
1,6,Income,62786.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 8, 'Class 1': 0}",0.0,0.0,0.198,0.198,1,0
1,6,NumStorePurchases,6.5,"{'Class 0': 89, 'Class 1': 105}","{'Class 0': 44, 'Class 1': 5}",0.497,0.183,0.496,0.062,NumWebVisitsMonth,MntGoldProds
1,6,MntSweetProducts,1.5,"{'Class 0': 12, 'Class 1': 6}","{'Class 0': 55, 'Class 1': 0}",0.444,0.0,0.151,0.041,NumCatalogPurchases,0
1,6,Year_Birth,1962.0,"{'Class 0': 3, 'Class 1': 18}","{'Class 0': 20, 'Class 1': 0}",0.245,0.0,0.493,0.368,NumWebVisitsMonth,0
1,6,MntSweetProducts,73.0,"{'Class 0': 0, 'Class 1': 54}","{'Class 0': 9, 'Class 1': 18}",0.0,0.444,0.198,0.05,1,NumStorePurchases
1,6,Recency,91.0,"{'Class 0': 1, 'Class 1': 62}","{'Class 0': 1, 'Class 1': 3}",0.031,0.375,0.058,0.006,Income,Recency
1,6,MntFruits,132.0,"{'Class 0': 15, 'Class 1': 88}","{'Class 0': 4, 'Class 1': 0}",0.249,0.0,0.292,0.052,MntGoldProds,0
1,7,MntGoldProds,3.5,"{'Class 0': 4, 'Class 1': 0}","{'Class 0': 4, 'Class 1': 28}",0.0,0.219,0.346,0.151,0,NumWebVisitsMonth
1,7,Recency,9.0,"{'Class 0': 0, 'Class 1': 2}","{'Class 0': 1, 'Class 1': 0}",0.0,0.0,0.444,0.444,1,0
1,7,MntSweetProducts,5.5,"{'Class 0': 6, 'Class 1': 33}","{'Class 0': 0, 'Class 1': 37}",0.26,0.0,0.145,0.012,MntSweetProducts,1
1,7,MntFruits,2.5,"{'Class 0': 9, 'Class 1': 50}","{'Class 0': 5, 'Class 1': 0}",0.259,0.0,0.342,0.103,NumWebVisitsMonth,0
1,7,NumCatalogPurchases,1.5,"{'Class 0': 330, 'Class 1': 2}","{'Class 0': 53, 'Class 1': 11}",0.012,0.285,0.064,0.008,Recency,NumWebVisitsMonth
1,7,MntGoldProds,13.5,"{'Class 0': 19, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 10}",0.0,0.0,0.452,0.452,0,1
1,7,MntGoldProds,27.5,"{'Class 0': 31, 'Class 1': 44}","{'Class 0': 36, 'Class 1': 183}",0.485,0.275,0.352,0.023,MntGoldProds,MntSweetProducts
1,7,Income,42278.5,"{'Class 0': 14, 'Class 1': 53}","{'Class 0': 90, 'Class 1': 59}",0.331,0.478,0.499,0.067,MntGoldProds,Income
1,7,MntFruits,113.0,"{'Class 0': 20, 'Class 1': 196}","{'Class 0': 3, 'Class 1': 0}",0.168,0.0,0.188,0.022,NumStorePurchases,0
1,7,Recency,13.5,"{'Class 0': 0, 'Class 1': 2}","{'Class 0': 5, 'Class 1': 0}",0.0,0.0,0.408,0.408,1,0
1,7,Recency,27.0,"{'Class 0': 9, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 5}",0.0,0.0,0.459,0.459,0,1
1,7,MntFruits,96.0,"{'Class 0': 1, 'Class 1': 64}","{'Class 0': 6, 'Class 1': 14}",0.03,0.42,0.151,0.029,MntFruits,NumWebVisitsMonth
1,7,Recency,32.5,"{'Class 0': 0, 'Class 1': 110}","{'Class 0': 1, 'Class 1': 44}",0.0,0.043,0.013,0.001,1,MntGoldProds
1,7,Income,81912.5,"{'Class 0': 2, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 10}",0.0,0.0,0.278,0.278,0,1
1,7,NumCatalogPurchases,7.5,"{'Class 0': 64, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 1}",0.0,0.5,0.03,0.015,0,Recency
1,7,NumStorePurchases,6.5,"{'Class 0': 30, 'Class 1': 34}","{'Class 0': 69, 'Class 1': 8}",0.498,0.186,0.418,0.09,NumWebVisitsMonth,Recency
1,7,NumCatalogPurchases,2.5,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 19}",0.0,0.0,0.095,0.095,0,1
1,7,NumCatalogPurchases,4.5,"{'Class 0': 23, 'Class 1': 0}","{'Class 0': 18, 'Class 1': 24}",0.0,0.49,0.466,0.149,0,Income
1,7,NumWebVisitsMonth,7.5,"{'Class 0': 60, 'Class 1': 44}","{'Class 0': 29, 'Class 1': 61}",0.488,0.437,0.497,0.033,MntSweetProducts,MntSweetProducts
1,7,MntGoldProds,128.5,"{'Class 0': 37, 'Class 1': 1}","{'Class 0': 7, 'Class 1': 4}",0.051,0.463,0.183,0.04,Year_Birth,MntSweetProducts
1,7,NumCatalogPurchases,0.5,"{'Class 0': 0, 'Class 1': 4}","{'Class 0': 12, 'Class 1': 2}",0.0,0.245,0.444,0.253,1,MntGoldProds
1,7,NumWebVisitsMonth,7.5,"{'Class 0': 0, 'Class 1': 18}","{'Class 0': 3, 'Class 1': 0}",0.0,0.0,0.245,0.245,1,0
1,7,NumStorePurchases,4.5,"{'Class 0': 0, 'Class 1': 13}","{'Class 0': 9, 'Class 1': 5}",0.0,0.459,0.444,0.206,1,Recency
1,7,Income,91760.0,"{'Class 0': 0, 'Class 1': 50}","{'Class 0': 1, 'Class 1': 12}",0.0,0.142,0.031,0.002,1,Income
1,7,Recency,94.0,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 3}",0.0,0.0,0.375,0.375,0,1
1,7,MntGoldProds,54.5,"{'Class 0': 10, 'Class 1': 14}","{'Class 0': 5, 'Class 1': 74}",0.486,0.119,0.249,0.044,Recency,NumWebVisitsMonth
1,8,NumWebVisitsMonth,3.5,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 28}",0.0,0.067,0.219,0.158,0,MntFruits
1,8,MntSweetProducts,4.5,"{'Class 0': 4, 'Class 1': 33}","{'Class 0': 2, 'Class 1': 0}",0.193,0.0,0.26,0.077,Recency,0
1,8,NumWebVisitsMonth,6.0,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 6, 'Class 1': 50}",0.0,0.191,0.259,0.078,0,MntSweetProducts
1,8,Recency,97.5,"{'Class 0': 316, 'Class 1': 2}","{'Class 0': 14, 'Class 1': 0}",0.012,0.0,0.012,0.001,MntGoldProds,0
1,8,NumWebVisitsMonth,6.5,"{'Class 0': 43, 'Class 1': 0}","{'Class 0': 10, 'Class 1': 11}",0.0,0.499,0.285,0.121,0,Year_Birth
1,8,MntGoldProds,20.0,"{'Class 0': 2, 'Class 1': 22}","{'Class 0': 29, 'Class 1': 22}",0.153,0.491,0.485,0.102,Recency,Income
1,8,MntSweetProducts,78.5,"{'Class 0': 24, 'Class 1': 173}","{'Class 0': 12, 'Class 1': 10}",0.214,0.496,0.275,0.033,MntFruits,Income
1,8,MntGoldProds,97.5,"{'Class 0': 9, 'Class 1': 50}","{'Class 0': 5, 'Class 1': 3}",0.259,0.469,0.331,0.047,MntFruits,Recency
1,8,Income,61909.5,"{'Class 0': 56, 'Class 1': 6}","{'Class 0': 34, 'Class 1': 53}",0.175,0.476,0.478,0.127,MntGoldProds,Year_Birth
1,8,NumStorePurchases,3.5,"{'Class 0': 3, 'Class 1': 100}","{'Class 0': 17, 'Class 1': 96}",0.057,0.256,0.168,0.007,MntGoldProds,NumCatalogPurchases
1,8,MntFruits,80.5,"{'Class 0': 0, 'Class 1': 57}","{'Class 0': 1, 'Class 1': 7}",0.0,0.219,0.03,0.003,1,Recency
1,8,NumWebVisitsMonth,1.5,"{'Class 0': 5, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 14}",0.0,0.124,0.42,0.327,0,Recency
1,8,MntGoldProds,71.5,"{'Class 0': 1, 'Class 1': 4}","{'Class 0': 0, 'Class 1': 40}",0.32,0.0,0.043,0.007,1,1
1,8,Recency,63.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 1, 'Class 1': 0}",0.0,0.0,0.5,0.5,1,0
1,8,NumWebVisitsMonth,2.5,"{'Class 0': 25, 'Class 1': 9}","{'Class 0': 5, 'Class 1': 25}",0.389,0.278,0.498,0.161,Year_Birth,NumCatalogPurchases
1,8,Recency,46.5,"{'Class 0': 3, 'Class 1': 5}","{'Class 0': 66, 'Class 1': 3}",0.469,0.083,0.186,0.063,Income,Recency
1,8,Income,72416.5,"{'Class 0': 9, 'Class 1': 0}","{'Class 0': 9, 'Class 1': 24}",0.0,0.397,0.49,0.178,0,Income
1,8,MntSweetProducts,9.5,"{'Class 0': 38, 'Class 1': 10}","{'Class 0': 22, 'Class 1': 34}",0.33,0.477,0.488,0.079,Recency,MntGoldProds
1,8,MntSweetProducts,16.0,"{'Class 0': 16, 'Class 1': 53}","{'Class 0': 13, 'Class 1': 8}",0.356,0.472,0.437,0.054,Income,MntGoldProds
1,8,Year_Birth,1951.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 37, 'Class 1': 0}",0.0,0.0,0.051,0.051,1,0
1,8,MntSweetProducts,2.0,"{'Class 0': 0, 'Class 1': 4}","{'Class 0': 7, 'Class 1': 0}",0.0,0.0,0.463,0.463,1,0
1,8,MntGoldProds,34.0,"{'Class 0': 10, 'Class 1': 0}","{'Class 0': 2, 'Class 1': 2}",0.0,0.5,0.245,0.102,0,Income
1,8,Recency,89.0,"{'Class 0': 9, 'Class 1': 1}","{'Class 0': 0, 'Class 1': 4}",0.18,0.0,0.459,0.33,Income,1
1,8,Income,92155.5,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 12}",0.0,0.0,0.142,0.142,0,1
1,8,Recency,90.0,"{'Class 0': 10, 'Class 1': 1}","{'Class 0': 0, 'Class 1': 13}",0.165,0.0,0.486,0.41,NumWebVisitsMonth,1
1,8,NumWebVisitsMonth,7.5,"{'Class 0': 4, 'Class 1': 74}","{'Class 0': 1, 'Class 1': 0}",0.097,0.0,0.119,0.023,NumCatalogPurchases,0
1,9,MntFruits,23.0,"{'Class 0': 0, 'Class 1': 28}","{'Class 0': 1, 'Class 1': 0}",0.0,0.0,0.067,0.067,1,0
1,9,Recency,18.5,"{'Class 0': 2, 'Class 1': 29}","{'Class 0': 2, 'Class 1': 4}",0.121,0.444,0.193,0.02,1,1
1,9,MntSweetProducts,3.5,"{'Class 0': 5, 'Class 1': 50}","{'Class 0': 1, 'Class 1': 0}",0.165,0.0,0.191,0.029,1,0
1,9,MntGoldProds,15.5,"{'Class 0': 307, 'Class 1': 1}","{'Class 0': 9, 'Class 1': 1}",0.006,0.18,0.012,0.001,0,0
1,9,Year_Birth,1971.0,"{'Class 0': 9, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 11}",0.0,0.153,0.499,0.412,0,1
1,9,Recency,9.5,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 22}",0.0,0.083,0.153,0.073,0,1
1,9,Income,62346.5,"{'Class 0': 18, 'Class 1': 22}","{'Class 0': 11, 'Class 1': 0}",0.495,0.0,0.491,0.103,1,0
1,9,MntFruits,170.5,"{'Class 0': 21, 'Class 1': 170}","{'Class 0': 3, 'Class 1': 3}",0.196,0.5,0.214,0.009,1,0
1,9,Income,73472.0,"{'Class 0': 11, 'Class 1': 0}","{'Class 0': 1, 'Class 1': 10}",0.0,0.165,0.496,0.413,0,1
1,9,MntFruits,6.0,"{'Class 0': 9, 'Class 1': 13}","{'Class 0': 0, 'Class 1': 37}",0.483,0.0,0.259,0.079,1,1
1,9,Recency,26.5,"{'Class 0': 0, 'Class 1': 3}","{'Class 0': 5, 'Class 1': 0}",0.0,0.0,0.469,0.469,1,0
1,9,MntGoldProds,22.5,"{'Class 0': 4, 'Class 1': 5}","{'Class 0': 52, 'Class 1': 1}",0.494,0.037,0.175,0.072,1,0
1,9,Year_Birth,1952.0,"{'Class 0': 10, 'Class 1': 0}","{'Class 0': 24, 'Class 1': 53}",0.0,0.429,0.476,0.096,0,1
1,9,MntGoldProds,23.0,"{'Class 0': 3, 'Class 1': 12}","{'Class 0': 0, 'Class 1': 88}",0.32,0.0,0.057,0.01,1,1
1,9,NumCatalogPurchases,3.5,"{'Class 0': 16, 'Class 1': 40}","{'Class 0': 1, 'Class 1': 56}",0.408,0.034,0.256,0.036,1,1
1,9,Recency,19.0,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 7}",0.0,0.0,0.219,0.219,0,1
1,9,Recency,19.0,"{'Class 0': 1, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 14}",0.0,0.0,0.124,0.124,0,1
1,9,Year_Birth,1977.0,"{'Class 0': 23, 'Class 1': 0}","{'Class 0': 2, 'Class 1': 9}",0.0,0.298,0.389,0.292,0,1
1,9,NumCatalogPurchases,1.5,"{'Class 0': 3, 'Class 1': 0}","{'Class 0': 2, 'Class 1': 25}",0.0,0.137,0.278,0.155,0,1
1,9,Income,77128.0,"{'Class 0': 0, 'Class 1': 5}","{'Class 0': 3, 'Class 1': 0}",0.0,0.0,0.469,0.469,1,0
1,9,Recency,80.5,"{'Class 0': 62, 'Class 1': 0}","{'Class 0': 4, 'Class 1': 3}",0.0,0.49,0.083,0.034,0,0
1,9,Income,73694.0,"{'Class 0': 0, 'Class 1': 16}","{'Class 0': 9, 'Class 1': 8}",0.0,0.498,0.397,0.141,1,0
1,9,Recency,43.0,"{'Class 0': 0, 'Class 1': 4}","{'Class 0': 38, 'Class 1': 6}",0.0,0.236,0.33,0.114,1,0
1,9,MntGoldProds,46.5,"{'Class 0': 8, 'Class 1': 34}","{'Class 0': 14, 'Class 1': 0}",0.308,0.0,0.477,0.246,1,0
1,9,Income,58424.0,"{'Class 0': 13, 'Class 1': 53}","{'Class 0': 3, 'Class 1': 0}",0.316,0.0,0.356,0.054,1,0
1,9,MntGoldProds,122.5,"{'Class 0': 13, 'Class 1': 2}","{'Class 0': 0, 'Class 1': 6}",0.231,0.0,0.472,0.307,0,1
1,9,Income,46416.0,"{'Class 0': 1, 'Class 1': 2}","{'Class 0': 1, 'Class 1': 0}",0.444,0.0,0.5,0.167,1,0
1,9,Income,70512.5,"{'Class 0': 9, 'Class 1': 0}","{'Class 0': 0, 'Class 1': 1}",0.0,0.0,0.18,0.18,0,1
1,9,NumWebVisitsMonth,1.5,"{'Class 0': 0, 'Class 1': 1}","{'Class 0': 10, 'Class 1': 0}",0.0,0.0,0.165,0.165,1,0
1,9,NumCatalogPurchases,2.5,"{'Class 0': 2, 'Class 1': 5}","{'Class 0': 2, 'Class 1': 69}",0.408,0.055,0.097,0.01,1,1
2,0,Income,75140.5,"{'Class 0': 1365, 'Class 1': 935}","{'Class 0': 187, 'Class 1': 556}",0.483,0.377,0.5,0.043,Recency,Income
2,1,Recency,37.5,"{'Class 0': 442, 'Class 1': 582}","{'Class 0': 923, 'Class 1': 353}",0.491,0.4,0.483,0.043,NumCatalogPurchases,NumCatalogPurchases
2,1,Income,81273.0,"{'Class 0': 126, 'Class 1': 216}","{'Class 0': 61, 'Class 1': 340}",0.465,0.258,0.377,0.024,Recency,NumWebVisitsMonth
2,2,NumCatalogPurchases,0.5,"{'Class 0': 158, 'Class 1': 66}","{'Class 0': 284, 'Class 1': 516}",0.416,0.458,0.491,0.042,NumWebVisitsMonth,Income
2,2,NumCatalogPurchases,1.5,"{'Class 0': 515, 'Class 1': 100}","{'Class 0': 408, 'Class 1': 253}",0.272,0.473,0.4,0.024,MntGoldProds,NumWebVisitsMonth
2,2,Recency,45.5,"{'Class 0': 44, 'Class 1': 170}","{'Class 0': 82, 'Class 1': 46}",0.327,0.46,0.465,0.088,NumStorePurchases,NumWebVisitsMonth
2,2,NumWebVisitsMonth,0.5,"{'Class 0': 5, 'Class 1': 0}","{'Class 0': 56, 'Class 1': 340}",0.0,0.243,0.258,0.018,0,MntFruits
2,3,NumWebVisitsMonth,7.5,"{'Class 0': 116, 'Class 1': 7}","{'Class 0': 42, 'Class 1': 59}",0.107,0.486,0.416,0.138,MntSweetProducts,MntSweetProducts
2,3,Income,39987.0,"{'Class 0': 36, 'Class 1': 206}","{'Class 0': 248, 'Class 1': 310}",0.253,0.494,0.458,0.037,MntGoldProds,Recency
2,3,MntGoldProds,12.5,"{'Class 0': 331, 'Class 1': 14}","{'Class 0': 184, 'Class 1': 86}",0.078,0.434,0.272,0.038,NumStorePurchases,Recency
2,3,NumWebVisitsMonth,5.5,"{'Class 0': 268, 'Class 1': 81}","{'Class 0': 140, 'Class 1': 172}",0.356,0.495,0.473,0.051,Recency,NumStorePurchases
