Recency,Income,MntGoldProds,NumCatalogPurchases,NumWebVisitsMonth,MntFruits,NumStorePurchases,MntSweetProducts,Year_Birth,Response
3,71604,97,3,4,53,5,75,1945,1
3,27255,2,0,7,1,3,1,1984,0
3,55375,14,1,2,11,6,28,1977,0
3,77037,10,7,3,96,12,53,1960,0
3,24163,2,0,4,1,3,1,1970,0
3,69476,67,6,2,86,4,9,1969,0
3,72063,90,2,2,32,12,32,1979,0
3,58646,22,1,4,1,4,5,1962,0
3,58646,22,1,4,1,4,5,1962,0
3,47570,31,2,7,1,2,2,1949,1
3,80011,102,6,4,76,5,178,1980,0
3,54998,8,2,4,22,9,30,1956,1
3,60200,26,2,6,19,11,6,1948,0
3,63211,145,8,2,193,7,26,1982,1
3,48432,42,1,8,3,6,3,1973,1
3,48432,42,1,8,3,6,3,1973,0
3,48432,42,1,8,3,6,3,1973,1
3,62845,34,4,8,0,10,0,1949,0
3,62845,34,4,8,0,10,0,1949,1
3,65220,12,4,6,63,7,25,1965,1
3,74214,33,2,5,83,5,99,1990,0
4,96547,62,6,2,21,8,101,1980,1
4,53863,30,1,7,4,7,4,1955,0
4,50447,27,1,6,7,3,3,1970,0
4,37716,41,1,7,1,3,2,1953,0
4,45203,24,1,6,3,3,8,1982,1
4,37368,10,0,6,2,2,2,1975,0
4,67225,143,2,5,35,11,7,1955,0
4,65104,50,5,7,0,7,20,1976,1
4,65104,50,5,7,0,7,20,1976,0
4,81698,47,8,1,28,13,123,1949,1
4,70566,21,5,3,28,9,28,1968,0
4,69096,109,2,4,49,10,82,1958,0
4,71434,168,4,4,36,7,96,1962,0
4,33039,12,0,5,8,4,8,1978,0
4,33039,12,0,5,8,4,8,1978,0
4,46610,125,1,6,10,6,10,1958,0
4,49967,3,1,7,6,5,12,1958,0
4,53359,41,1,7,4,4,6,1976,0
4,49505,28,2,8,0,8,0,1971,0
4,68657,22,5,7,34,9,68,1946,0
4,72071,150,4,2,69,8,138,1954,0
4,72071,150,4,2,69,8,138,1954,0
4,59235,91,2,7,40,12,0,1967,0
4,21994,3,0,5,0,3,1,1957,0
4,21994,3,0,5,0,3,1,1957,0
4,7500,53,2,9,42,8,37,1957,0
4,69209,128,3,4,32,6,48,1972,0
5,31928,5,0,7,4,4,2,1989,0
5,74004,48,6,3,48,4,176,1987,1
5,30390,20,0,6,12,3,1,1987,0
5,21355,31,1,6,13,2,5,1985,1
5,26304,4,0,7,1,2,0,1969,0
5,85710,33,9,2,20,10,30,1989,0
5,102692,148,9,2,148,13,172,1974,1
5,58350,80,3,6,26,12,80,1971,0
5,7500,25,1,6,5,3,4,1978,0
5,18890,15,1,6,4,2,2,1984,1
5,20425,17,0,7,12,3,16,1986,0
5,20425,17,0,7,12,3,16,1986,0
5,41437,1,0,7,0,3,0,1957,0
5,49912,42,5,8,8,7,49,1949,1
5,49912,42,5,8,8,7,49,1949,1
6,79823,43,9,2,73,7,73,1959,0
6,85683,51,4,1,17,10,69,1954,1
6,47025,1,0,7,0,2,0,1965,0
6,68397,80,9,3,80,5,13,1976,0
6,38175,3,1,7,6,4,3,1984,0
6,46423,8,0,7,0,4,0,1972,0
6,46423,8,0,7,0,4,0,1972,0
6,30560,7,0,7,1,3,5,1976,0
6,30560,7,0,7,1,3,5,1976,0
6,60152,91,4,3,83,12,58,1979,0
6,29672,8,0,6,1,3,4,1965,0
6,29672,8,0,6,1,3,4,1965,0
6,70321,191,5,4,23,13,26,1947,1
6,56181,48,2,4,103,7,44,1962,0
6,24279,108,1,8,36,3,62,1990,0
6,68462,48,3,1,64,8,128,1969,0
6,55424,107,5,6,61,9,53,1976,1
6,49094,69,3,6,0,6,8,1973,0
6,59184,66,6,5,142,12,151,1961,0
6,67430,121,5,6,97,12,133,1987,0
6,30522,26,2,2,8,9,11,1960,0
7,31878,23,0,3,4,4,5,1977,0
7,83528,147,10,1,117,8,44,1992,1
7,90300,57,6,1,134,8,134,1979,0
7,68092,48,6,5,60,10,36,1978,0
7,53761,71,4,5,0,3,7,1972,0
7,52845,64,8,6,25,6,41,1973,0
7,24027,5,0,8,7,3,0,1976,0
7,7500,21,2,7,8,2,8,1979,0
7,42586,0,1,8,2,6,0,1955,1
7,42586,0,1,8,2,6,0,1955,1
7,9722,42,1,8,17,3,16,1973,1
7,86836,63,10,5,21,6,21,1975,1
8,30467,5,0,7,3,2,5,1972,0
8,54549,9,1,7,2,4,0,1952,0
8,19444,10,1,7,0,2,2,1982,1
8,69245,61,5,3,30,10,30,1956,0
8,72968,55,5,3,37,8,37,1963,1
8,48686,1,0,8,0,2,0,1953,0
8,73687,181,9,2,153,9,13,1990,1
8,82716,22,8,2,148,13,148,1944,0
8,35523,11,0,7,5,3,5,1981,0
8,60554,15,4,6,7,9,15,1975,0
8,64090,135,9,5,58,4,51,1956,1
8,61559,34,2,3,83,10,14,1965,0
8,71670,160,3,6,16,6,0,1962,1
8,67680,6,3,5,0,8,6,1951,0
8,54386,25,2,3,21,10,21,1981,0
8,64108,21,9,5,10,11,21,1953,0
8,69702,57,7,4,9,10,19,1951,0
8,47958,22,3,5,11,5,3,1952,0
8,67716,56,4,5,142,13,9,1960,0
8,34600,15,2,8,33,5,3,1971,1
8,34600,15,2,8,33,5,3,1971,1
8,48752,0,1,9,57,5,15,1969,1
8,15716,26,0,8,5,4,7,1988,0
8,46610,43,1,6,12,6,22,1952,1
8,74985,86,6,2,51,7,0,1977,0
9,45576,25,1,8,19,3,14,1945,1
9,113734,3,0,1,2,0,262,1945,0
9,57100,17,2,3,11,7,11,1987,0
9,24434,17,1,7,2,2,0,1972,0
9,37126,7,2,6,3,2,4,1971,1
9,45160,3,0,7,2,2,0,1958,0
9,33178,16,0,4,6,3,2,1977,0
9,64866,10,3,5,5,7,5,1950,0
9,34176,2,0,3,2,3,2,1975,0
9,50014,42,1,5,14,8,10,1968,0
9,92344,119,10,1,24,5,19,1948,0
9,55282,19,1,4,6,6,4,1970,0
9,48799,24,2,3,18,7,6,1963,0
9,84169,0,6,3,19,6,19,1982,1
9,84169,0,6,3,19,6,19,1982,1
9,39763,16,1,9,1,2,6,1971,1
9,74165,12,4,2,12,10,12,1975,0
9,42720,112,3,8,5,7,26,1965,1
9,65275,21,3,2,14,13,14,1944,0
9,36443,20,1,8,0,3,3,1961,0
9,43776,20,2,8,2,4,2,1952,1
9,56046,51,1,8,0,8,0,1965,1
9,65148,153,6,4,35,7,12,1958,0
9,49431,17,1,8,3,5,0,1955,0
10,32583,1,0,7,0,2,0,1961,0
10,16653,7,1,6,7,3,4,1979,1
10,26850,9,1,4,1,4,2,1971,0
10,51287,30,1,7,0,3,0,1968,0
10,43050,8,0,5,5,4,3,1973,0
10,73448,130,2,4,106,9,41,1969,0
10,17256,22,1,8,4,2,8,1992,0
10,86429,37,4,2,28,7,18,1961,1
10,33569,24,1,8,2,2,0,1983,1
10,25130,18,0,7,5,3,18,1980,0
10,62998,58,4,5,58,5,89,1952,0
10,26907,2,0,7,1,3,3,1976,0
10,26907,2,0,7,1,3,3,1976,0
10,45579,1,1,6,1,4,1,1948,0
10,47320,19,1,6,19,8,15,1957,0
10,70179,133,3,5,88,13,44,1976,0
10,70179,133,3,5,88,13,44,1976,0
10,28072,5,0,7,0,3,0,1986,0
10,50501,152,4,6,0,4,0,1954,1
10,58917,28,1,5,7,6,7,1969,0
10,69372,42,4,4,26,6,13,1949,1
10,35178,18,1,7,1,2,2,1971,1
10,35178,18,1,7,1,2,2,1971,1
10,75693,30,4,4,153,6,97,1968,1
10,69109,95,6,4,25,7,29,1982,1
10,69109,95,6,4,25,7,29,1982,1
11,80134,26,7,5,26,11,26,1994,0
11,64713,54,5,4,60,7,54,1970,1
11,41411,18,1,6,32,4,3,1986,0
11,7500,1,0,7,5,2,2,1983,0
11,55521,4,3,7,0,6,0,1955,1
11,43795,107,3,7,11,4,3,1968,1
11,22070,21,2,6,7,2,2,1970,0
11,36408,3,0,6,1,2,2,1949,0
11,34026,17,1,5,6,3,8,1950,0
11,34026,17,1,5,6,3,8,1950,0
11,46049,19,2,7,9,9,14,1976,1
11,35641,28,1,7,3,4,9,1972,1
11,32414,12,0,7,6,3,9,1984,0
11,59821,35,2,8,0,7,0,1955,0
11,34968,2,2,7,6,5,2,1980,0
11,56320,83,4,4,53,9,77,1967,0
11,70091,11,2,8,34,10,0,1969,0
11,46097,8,1,4,24,6,4,1956,0
11,41003,88,2,6,133,8,44,1963,0
11,44911,31,1,7,0,4,1,1959,0
11,33249,42,1,6,10,3,14,1975,0
11,33249,42,1,6,10,3,14,1975,0
11,42873,15,1,8,0,4,2,1950,0
11,51039,109,2,7,64,4,0,1969,0
11,78952,134,5,6,19,12,76,1958,0
11,29435,64,2,9,3,2,2,1966,1
12,79865,38,10,1,99,5,121,1954,0
12,34176,20,0,6,7,4,14,1988,0
12,34176,20,0,6,7,4,14,1988,0
12,65968,4,4,3,9,7,4,1970,0
12,86424,68,9,1,68,12,45,1956,0
12,67272,14,2,5,35,12,28,1966,0
12,78499,97,3,4,72,4,36,1957,1
12,77044,76,11,4,38,11,34,1972,0
12,70515,140,6,2,0,4,64,1993,1
12,17459,30,1,7,4,2,10,1975,1
12,80336,66,9,1,19,13,142,1970,0
12,15759,3,0,7,2,2,0,1956,0
12,26326,9,0,3,0,3,3,1976,0
12,62061,38,4,6,7,7,30,1976,0
12,5305,5,0,13,4,0,3,1976,0
12,75777,80,6,1,26,11,13,1982,1
12,75777,80,6,1,26,11,13,1982,1
12,71499,37,3,4,25,13,0,1971,0
12,31626,34,1,7,1,2,1,1978,1
12,42670,15,2,4,2,4,4,1992,0
12,83917,79,7,3,22,7,198,1973,1
12,41021,12,0,6,7,3,16,1969,1
12,79456,99,6,3,42,4,83,1956,1
12,78789,83,6,2,50,5,83,1980,1
13,50870,2,0,5,0,3,0,1952,0
13,35876,14,1,6,2,3,3,1983,0
13,23539,25,0,6,24,4,1,1957,0
13,32557,10,1,5,3,3,4,1967,1
13,62466,83,3,4,129,12,121,1970,0
13,62466,83,3,4,129,12,121,1970,0
13,54198,17,1,4,0,6,2,1966,0
13,82170,37,6,2,93,7,55,1978,0
13,61798,13,2,4,4,9,8,1964,0
13,15253,13,0,7,3,3,1,1992,0
13,78285,40,4,3,107,10,67,1988,0
13,62535,52,2,3,48,8,45,1955,0
13,27190,3,0,8,6,2,1,1973,1
13,48985,8,1,3,13,3,7,1968,0
13,72940,116,3,1,74,6,149,1970,0
13,36145,18,1,9,4,3,1,1985,1
13,157146,1,28,1,0,0,1,1977,0
13,81843,138,9,3,86,12,69,1960,0
13,41883,116,2,7,34,3,16,1988,0
13,45759,4,0,7,1,3,0,1964,0
13,45759,4,0,7,1,3,0,1964,0
13,78394,166,6,2,27,5,24,1986,1
13,30279,1,0,8,4,3,4,1989,0
13,30279,1,0,8,4,3,4,1989,0
13,31880,3,0,8,1,2,0,1970,0
13,60208,59,3,7,23,7,0,1973,1
13,78687,241,6,2,185,8,55,1983,1
14,37401,3,0,7,3,3,1,1973,0
14,37401,3,0,7,3,3,1,1973,0
14,75315,31,4,2,15,12,23,1954,0
14,69263,21,1,6,5,7,5,1965,0
14,78569,95,6,1,79,4,175,1946,1
14,57705,40,1,6,0,6,4,1966,0
14,74805,37,7,2,162,10,162,1955,0
14,66426,157,5,6,24,10,24,1961,0
14,51529,22,1,8,4,5,0,1949,0
14,18100,1,0,5,1,3,3,1946,0
14,59601,23,2,8,7,7,7,1977,0
14,20981,30,1,8,12,2,13,1977,1
14,74068,15,10,2,30,9,76,1976,0
14,36790,10,1,9,3,2,21,1983,1
14,18793,20,0,8,16,4,17,1971,0
14,27421,55,1,7,12,6,40,1954,0
14,30675,21,0,8,2,3,2,1972,0
14,83145,114,9,2,35,11,137,1974,1
14,34053,12,0,8,0,3,0,1968,0
15,31788,6,0,5,7,4,8,1983,0
15,45894,13,0,5,2,3,2,1974,0
15,41986,12,0,4,5,4,3,1978,0
15,42769,0,1,4,0,4,1,1962,0
15,58582,42,2,5,35,9,77,1982,0
15,49096,7,1,7,1,4,1,1964,0
15,76412,17,4,3,53,8,71,1980,1
15,18929,18,0,6,0,4,4,1990,0
15,18929,18,0,6,0,4,4,1990,0
15,18929,18,0,6,0,4,4,1990,0
15,21888,64,1,10,10,2,3,1986,1
15,41580,3,1,5,5,3,0,1978,0
15,31605,6,1,7,0,4,1,1979,0
15,25509,11,0,9,3,3,7,1974,1
15,25509,11,0,9,3,3,7,1974,1
15,33051,219,1,9,71,8,94,1959,1
16,28764,1,0,8,0,2,0,1966,0
16,32146,3,0,6,3,4,7,1983,0
16,22148,11,0,7,5,3,4,1983,0
16,36781,13,1,8,1,2,3,1979,1
16,54197,13,3,1,6,6,13,1960,0
16,93790,45,7,2,68,12,114,1970,1
16,24762,40,1,8,10,2,15,1972,1
16,30477,12,1,6,1,3,0,1984,0
16,11448,6,0,6,0,2,2,1975,0
16,70844,2,1,7,26,5,67,1967,0
16,30828,12,1,3,11,4,0,1980,0
16,62513,14,4,6,42,10,42,1967,0
16,27733,17,0,7,7,3,2,1981,0
16,39435,13,1,7,0,2,0,1973,0
16,75345,133,8,3,57,6,38,1970,1
16,20491,10,1,7,4,2,2,1986,0
16,36715,16,2,9,10,4,13,1971,1
16,71706,14,5,5,56,7,98,1959,0
16,69063,26,3,3,35,5,8,1966,0
16,24645,0,0,8,3,2,1,1988,0
16,35797,21,0,8,1,3,1,1975,0
17,44078,4,0,5,1,3,0,1969,0
17,26954,1,0,7,1,2,0,1971,0
17,7500,3,0,7,1,3,0,1972,0
17,38887,3,0,7,1,3,0,1972,0
17,65463,16,2,5,32,9,32,1974,0
17,53537,6,1,5,0,3,0,1959,0
17,36230,3,0,5,2,4,2,1971,0
17,80763,231,11,3,168,6,42,1950,1
17,60585,21,4,5,42,9,42,1971,1
17,49166,110,3,6,2,3,0,1974,0
17,75261,17,6,2,17,5,34,1955,1
17,89891,183,6,4,22,8,28,1991,0
17,72828,205,3,7,0,13,14,1962,0
17,75278,74,3,3,98,13,74,1952,0
17,38557,27,1,7,3,3,4,1978,0
17,81300,36,3,5,12,5,12,1963,1
17,60161,177,4,8,44,8,8,1965,0
17,69389,15,2,4,7,12,46,1977,0
17,64497,192,4,8,48,9,32,1954,1
17,61014,29,3,7,129,4,43,1980,0
18,44319,3,0,5,0,3,0,1975,0
18,53233,0,0,4,0,3,0,1957,0
18,77972,12,6,1,22,9,102,1954,0
18,81361,76,10,1,23,13,65,1987,0
18,81361,76,10,1,23,13,65,1987,1
18,25707,3,0,7,6,3,6,1984,0
18,42403,3,0,8,1,3,5,1971,0
18,65704,246,10,1,172,10,8,1972,0
18,37406,3,0,8,0,2,2,1980,1
18,39767,47,1,8,61,7,26,1951,0
18,54210,45,1,5,54,7,9,1979,0
18,57136,127,5,6,140,7,12,1967,1
18,40794,50,3,7,23,5,23,1975,0
18,83003,122,6,3,61,8,25,1965,1
18,89058,43,4,2,194,4,22,1960,0
18,20193,9,1,4,8,4,11,1991,0
18,72099,22,4,1,91,10,0,1974,0
18,43824,32,1,8,1,4,3,1971,0
18,66653,6,2,3,18,12,18,1975,0
19,44359,1,0,3,0,4,3,1978,0
19,79410,13,2,1,80,5,13,1961,0
19,55842,24,1,5,0,8,4,1977,0
19,79946,28,11,3,183,5,141,1966,0
19,88194,38,10,5,14,10,24,1979,1
19,80184,0,3,3,134,10,38,1944,0
19,76982,30,3,4,151,4,60,1967,1
19,65295,6,3,2,32,13,110,1980,0
19,57100,96,3,3,21,6,3,1973,0
19,29009,2,0,6,6,3,5,1981,0
19,78931,35,8,1,197,13,152,1971,0
19,7500,12,0,5,1,3,2,1975,0
19,56939,49,3,3,34,10,29,1976,0
19,64509,77,3,4,185,9,25,1990,1
19,30093,16,0,7,6,3,4,1990,0
19,30351,2,0,9,0,2,3,1974,1
19,30351,2,0,9,0,2,3,1974,0
19,38201,12,1,8,0,5,0,1960,0
19,7500,362,0,1,1,0,263,1986,0
19,43974,72,4,7,0,6,0,1980,0
19,38200,1,0,7,0,2,0,1970,0
19,87305,80,3,2,25,8,138,1960,1
19,16860,14,1,7,4,3,3,1961,0
19,27213,3,0,8,3,4,9,1972,1
19,7500,32,1,9,0,2,7,1976,1
20,4861,1,0,14,1,0,0,1965,0
20,38196,3,0,5,0,4,0,1971,0
20,41145,1,0,3,0,3,0,1950,0
20,38513,18,1,8,3,5,0,1982,1
20,45688,9,1,4,0,8,0,1968,0
20,77863,12,5,2,38,10,25,1958,0
20,42169,2,0,8,0,3,0,1969,0
20,45906,144,4,5,3,4,3,1964,0
20,35388,8,0,7,4,3,3,1988,0
20,80952,44,5,8,178,11,27,1969,1
20,39898,12,0,7,8,4,7,1954,0
20,39898,12,0,7,8,4,7,1954,0
20,44051,18,1,6,7,4,3,1973,1
20,86718,172,6,2,189,5,33,1954,0
20,80141,40,4,6,102,10,40,1986,1
20,58597,21,4,7,0,9,28,1976,0
20,70356,33,6,6,16,9,16,1945,0
20,46904,31,1,8,4,4,9,1967,0
20,37760,28,1,7,5,6,12,1946,0
20,37760,28,1,7,5,6,12,1946,0
20,61839,120,8,8,155,4,17,1964,0
21,29791,0,0,5,0,3,0,1972,0
21,48918,1,0,4,0,4,0,1963,0
21,48918,1,0,4,0,4,0,1963,0
21,58692,11,2,7,11,4,7,1965,0
21,39356,6,0,6,0,2,0,1976,0
21,76234,41,3,3,50,11,0,1972,0
21,55434,76,3,4,115,13,69,1984,0
21,66835,141,4,2,26,13,17,1946,0
21,66835,141,4,2,26,13,17,1946,0
21,71965,248,3,3,19,5,38,1951,0
21,74538,28,8,3,98,5,112,1971,1
21,50002,82,2,7,5,7,16,1954,0
21,53977,82,5,5,16,12,24,1958,0
21,53977,82,5,5,16,12,24,1958,0
21,69930,196,5,3,98,12,70,1971,0
21,62981,0,5,3,14,13,44,1967,0
21,46014,44,1,7,0,8,9,1974,0
21,18227,11,1,8,2,2,3,1987,0
21,65991,9,5,7,19,10,47,1976,0
21,38808,30,1,8,17,4,19,1972,1
21,160803,4,28,0,16,1,3,1982,0
22,43783,139,1,7,9,8,4,1978,0
22,30396,12,1,7,0,2,1,1969,1
22,65526,9,4,2,19,8,0,1964,0
22,65526,9,4,2,19,8,0,1964,0
22,55956,38,3,4,38,4,9,1944,0
22,55563,2,0,3,1,3,0,1978,0
22,57236,4,1,3,0,4,1,1965,0
22,89694,42,3,5,28,4,28,1973,0
22,57420,24,1,7,0,6,0,1971,0
22,33622,12,0,7,1,4,4,1972,0
22,29999,11,1,8,7,4,5,1986,0
22,31497,4,1,8,1,4,1,1962,0
22,31497,4,1,8,1,4,1,1962,0
23,36802,1,0,5,1,3,0,1980,0
23,61671,28,4,8,7,6,0,1968,0
23,29732,4,0,9,0,2,1,1971,0
23,45921,12,1,4,9,6,3,1986,0
23,16529,1,0,6,0,3,0,1984,0
23,98777,38,6,1,19,9,115,1960,0
23,98777,38,6,1,19,9,115,1960,0
23,77027,11,3,4,57,6,0,1952,0
23,69139,6,1,4,12,5,15,1965,0
23,69139,6,1,4,12,5,15,1965,0
23,65169,46,4,6,0,13,0,1982,1
23,40049,3,0,6,6,3,3,1952,0
23,69755,93,6,1,77,12,23,1945,0
23,7500,15,1,6,0,7,0,1961,0
23,54456,15,1,6,0,7,0,1961,0
23,60689,24,4,3,90,10,6,1951,0
23,26487,23,1,5,8,3,14,1978,0
23,28164,12,0,7,18,4,8,1970,0
23,22585,39,1,9,9,2,2,1970,1
23,64795,77,3,2,5,12,29,1971,0
23,42000,35,2,5,83,11,59,1987,1
23,42000,35,2,5,83,11,59,1987,1
23,70713,190,6,3,114,8,76,1966,0
23,82800,45,6,3,22,12,68,1946,1
23,82800,45,6,3,22,12,68,1946,1
23,30801,11,0,7,4,3,2,1975,0
24,83891,15,7,1,38,10,85,1974,0
24,38054,0,0,7,2,3,1,1950,0
24,14045,1,0,7,0,3,1,1969,0
24,44155,14,1,4,1,2,0,1957,0
24,57642,27,6,4,6,6,0,1970,0
24,31353,7,1,8,0,2,1,1977,0
24,31353,7,1,8,0,2,1,1977,1
24,41335,5,1,7,19,4,14,1968,0
24,41335,5,1,7,19,4,14,1968,0
24,40737,2,0,8,0,2,0,1957,0
24,19789,28,1,5,5,3,6,1975,0
24,35946,0,0,5,0,3,0,1949,0
24,36262,153,5,6,39,3,28,1983,1
24,44551,66,1,7,4,5,0,1954,0
24,71367,75,5,2,23,7,21,1959,0
24,71367,75,5,2,23,7,21,1959,0
24,57957,29,6,3,59,8,5,1959,0
24,50334,134,4,6,16,6,16,1972,0
24,48150,47,1,7,2,4,2,1949,0
24,56796,37,9,7,38,7,47,1969,0
24,56796,37,9,7,38,7,47,1969,0
24,52278,174,5,8,0,10,0,1963,1
24,52278,174,5,8,0,10,0,1963,0
24,7500,50,1,9,18,3,22,1996,1
24,33444,2,0,8,0,2,0,1952,0
24,20895,4,0,9,3,3,0,1973,0
24,37509,5,0,7,5,4,8,1976,0
24,88097,75,5,9,0,8,126,1978,1
25,59041,6,0,5,2,4,2,1973,0
25,43322,18,0,7,7,4,2,1974,0
25,46015,6,0,7,0,3,0,1955,0
25,46015,6,0,7,0,3,0,1955,0
25,34242,1,0,5,2,3,0,1959,0
25,65210,28,3,6,0,8,7,1955,0
25,50520,14,1,6,0,3,1,1958,0
25,90765,33,6,1,99,5,82,1970,0
25,80589,26,10,1,93,5,40,1944,1
25,49572,1,0,7,1,3,1,1958,0
25,75437,0,4,6,0,10,58,1978,0
25,44635,3,0,7,0,3,0,1971,0
25,58512,152,4,8,10,8,0,1964,0
25,62000,20,6,4,0,13,0,1952,0
25,54252,44,1,6,4,5,4,1956,0
25,45068,3,0,7,0,2,0,1974,0
25,60474,170,2,7,199,12,9,1979,0
25,60474,170,2,7,199,12,9,1979,0
25,56337,182,5,8,16,4,5,1981,1
25,22434,15,0,8,12,3,13,1987,0
25,61416,78,3,6,154,10,61,1982,0
25,92163,20,11,2,183,5,163,1975,1
25,58656,12,8,6,12,13,24,1956,0
25,7500,17,0,8,3,3,4,1973,0
25,8940,42,1,8,45,3,6,1986,0
26,26751,1,0,8,1,2,3,1974,0
26,71427,23,2,4,123,8,64,1978,0
26,26646,5,0,6,4,4,3,1984,0
26,19346,2,0,8,0,3,6,1974,0
26,56243,7,2,5,0,8,3,1975,0
26,59892,0,1,3,0,3,1,1970,0
26,71613,42,2,4,49,10,21,1965,0
26,25252,6,0,8,3,2,2,1986,0
26,42160,20,1,6,9,4,15,1975,1
26,15862,10,0,8,1,3,9,1979,0
26,82584,68,4,1,68,8,91,1974,1
26,38360,10,1,3,2,4,21,1989,0
26,75283,66,3,4,9,5,19,1957,0
26,34941,24,0,8,2,3,3,1956,0
26,61823,169,2,7,7,10,14,1952,0
26,90226,108,7,2,108,12,151,1956,0
26,44989,106,1,6,0,5,10,1974,0
26,44989,106,1,6,0,5,10,1974,0
26,43586,16,0,8,2,4,0,1980,0
26,32233,72,2,9,15,2,11,1974,1
26,62882,97,5,4,133,6,24,1969,0
27,57288,60,1,6,0,8,0,1963,0
27,75774,56,5,4,21,8,14,1981,0
27,75774,56,5,4,21,8,14,1981,0
27,90247,16,4,1,32,7,16,1988,1
27,32218,30,1,7,24,3,1,1960,1
27,84219,45,4,1,137,10,137,1988,0
27,84219,45,4,1,137,10,137,1988,0
27,48877,24,0,7,1,4,0,1966,0
27,60905,38,3,2,17,7,17,1950,0
27,75236,114,3,4,66,13,38,1964,0
27,62551,27,7,3,16,4,21,1953,0
27,70123,0,7,3,0,4,0,1983,0
27,50785,27,1,6,1,3,1,1962,0
27,15315,17,0,5,4,4,8,1970,0
27,15315,17,0,5,4,4,8,1970,0
27,64413,20,1,5,5,5,10,1970,0
27,87171,44,7,2,44,11,44,1981,0
27,30081,4,0,7,0,3,0,1961,0
